Open,High,Low,Close,Volume,SMA_10,SMA_50,EMA_20,RSI_14,Volume_SMA_20,Volatility,Target_Next_Close
89.44,89.97,89.02,89.06,1308278,87.92,92.96,88.96,58.01,1129931.0,0.1915,88.86
88.79,89.05,88.28,88.86,1356586,88.15,92.62,88.95,52.07,1145829.0,0.191,87.44
87.61,88.27,87.18,87.44,361335,88.32,92.23,88.81,44.55,1144924.0,0.1983,85.92
85.88,86.14,84.24,85.92,2667240,88.25,91.88,88.53,47.33,1150129.0,0.2057,87.02
87.14,87.83,86.9,87.02,594129,88.15,91.6,88.39,49.91,1050933.0,0.1995,88.85
88.6,89.3,88.4,88.85,1292705,88.11,91.37,88.43,57.95,1002525.0,0.2103,88.8
87.72,88.94,87.13,88.8,3052676,88.17,91.18,88.47,61.3,1118811.0,0.2087,90.2
90.13,90.41,89.34,90.2,2521946,88.41,90.99,88.63,62.84,1210745.0,0.2079,90.73
91.38,92.25,90.1,90.73,1236093,88.65,90.85,88.83,60.42,1251179.0,0.208,89.9
90.32,91.08,89.54,89.9,899865,88.68,90.73,88.93,52.5,1231869.0,0.187,90.44
90.87,91.29,90.02,90.44,2566386,88.82,90.58,89.08,59.2,1334853.0,0.1872,92.59
93.17,93.69,91.48,92.59,2063173,89.19,90.47,89.41,67.03,1414569.0,0.2003,92.59
92.63,93.77,92.45,92.59,733298,89.71,90.36,89.72,65.84,1408390.0,0.1949,94.84
94.93,95.04,94.49,94.84,636719,90.6,90.34,90.2,67.97,1399568.0,0.2071,91.23
90.95,91.55,89.7,91.23,229146,91.02,90.26,90.3,56.22,1371925.0,0.2517,92.4
92.26,92.49,91.69,92.4,1360313,91.37,90.2,90.5,59.65,1352613.0,0.2507,92.57
92.86,93.13,91.63,92.57,1125616,91.75,90.17,90.7,64.98,1344839.0,0.2453,92.2
92.76,94.25,91.54,92.2,2984530,91.95,90.13,90.84,69.62,1446315.0,0.2452,92.38
92.31,92.66,91.33,92.38,1602770,92.11,90.1,90.99,67.76,1456842.0,0.245,89.71
89.51,89.93,88.55,89.71,3496885,92.09,90.03,90.87,52.68,1604484.0,0.2636,89.46
89.46,89.91,88.35,89.46,688388,92.0,89.97,90.73,52.03,1573490.0,0.2626,89.98
90.25,90.76,89.75,89.98,2989211,91.74,89.87,90.66,49.31,1655121.0,0.2631,92.05
91.38,93.28,90.49,92.05,787695,91.68,89.81,90.79,53.92,1676439.0,0.2665,91.38
90.33,92.78,90.23,91.38,2240202,91.34,89.76,90.85,54.45,1655087.0,0.2588,90.32
90.07,91.27,90.01,90.32,374367,91.25,89.67,90.8,49.67,1644099.0,0.2613,89.69
89.14,89.85,88.91,89.69,1451500,90.97,89.6,90.69,40.7,1652039.0,0.253,90.98
90.74,91.6,90.52,90.98,245794,90.81,89.55,90.72,45.22,1511695.0,0.2576,91.47
91.4,91.53,90.27,91.47,971202,90.74,89.56,90.79,38.89,1434158.0,0.2525,90.79
90.59,91.62,90.4,90.79,1710477,90.58,89.59,90.79,48.22,1457877.0,0.2534,91.54
92.21,92.49,91.51,91.54,792719,90.77,89.63,90.86,46.33,1452520.0,0.2524,91.72
91.87,92.68,91.17,91.72,518995,90.99,89.65,90.94,46.39,1350150.0,0.2518,93.11
93.25,94.31,93.04,93.11,2366434,91.3,89.7,91.15,53.53,1365313.0,0.243,92.18
92.47,92.55,92.06,92.18,1107072,91.32,89.73,91.25,49.27,1384002.0,0.2458,91.77
91.25,91.94,90.61,91.77,812883,91.36,89.76,91.3,59.13,1392810.0,0.2285,91.28
91.75,92.66,91.23,91.28,1243594,91.45,89.82,91.3,57.89,1443532.0,0.1845,89.34
89.31,90.08,88.78,89.34,9912779,91.42,89.85,91.11,47.53,1871156.0,0.1926,89.79
90.09,90.52,88.96,89.79,3026151,91.3,89.91,90.98,40.03,1966182.0,0.1937,90.18
89.7,90.61,89.64,90.18,3048191,91.17,89.95,90.91,44.6,1969365.0,0.1945,90.24
89.53,90.33,89.37,90.24,1703911,91.11,89.98,90.84,49.56,1974422.0,0.1943,89.96
90.33,90.38,89.45,89.96,1373933,90.96,90.04,90.76,51.41,1868275.0,0.1647,88.12
88.28,89.34,87.7,88.12,176863,90.6,90.06,90.51,36.08,1842699.0,0.1802,87.61
87.21,88.15,87.05,87.61,698587,90.05,90.09,90.23,31.2,1728167.0,0.1794,87.2
86.82,88.14,86.03,87.2,818755,89.55,90.11,89.94,32.05,1729720.0,0.1551,86.2
86.69,87.3,85.96,86.2,268360,88.99,90.11,89.59,23.98,1631128.0,0.1574,86.04
85.52,86.08,84.91,86.04,476425,88.47,90.07,89.25,22.26,1636231.0,0.1541,86.6
87.31,87.48,85.87,86.6,246552,88.19,90.01,89.0,15.48,1575984.0,0.1562,89.13
88.73,89.34,87.07,89.13,1166293,88.13,90.03,89.01,36.18,1622009.0,0.1831,89.41
89.7,90.67,88.79,89.41,2315214,88.05,90.06,89.05,39.16,1689209.0,0.1822,89.8
89.65,89.95,89.27,89.8,2915114,88.01,90.09,89.12,43.15,1749441.0,0.1815,89.75
90.02,90.18,89.22,89.75,1675844,87.99,90.1,89.18,52.26,1793598.0,0.1786,87.24
87.01,88.04,86.28,87.24,556422,87.9,90.06,88.99,38.41,1795469.0,0.2021,87.25
87.18,87.8,86.3,87.25,256362,87.86,90.03,88.83,36.15,1689965.0,0.1915,87.37
87.39,88.48,87.04,87.37,294933,87.88,90.03,88.69,36.58,1649358.0,0.1904,90.71
90.25,91.82,89.62,90.71,435745,88.33,90.12,88.88,52.72,1630501.0,0.2388,90.49
90.83,92.01,90.34,90.49,590610,88.78,90.19,89.04,59.83,1597852.0,0.2383,90.95
90.72,91.22,89.97,90.95,1058328,89.21,90.23,89.22,63.89,1155130.0,0.2256,90.95
90.84,91.12,90.25,90.95,534276,89.39,90.28,89.38,66.11,1030536.0,0.2251,89.41
88.97,90.76,88.37,89.41,1577230,89.39,90.26,89.39,63.19,956988.0,0.2331,91.0
89.84,91.33,89.44,91.0,998671,89.51,90.27,89.54,68.27,921726.0,0.2418,92.08
91.99,92.85,91.74,92.08,1212793,89.75,90.31,89.78,69.42,913669.0,0.2447,93.23
94.35,94.81,93.14,93.23,2994238,90.34,90.37,90.11,66.1,1054538.0,0.2334,92.01
92.37,92.47,91.9,92.01,467808,90.82,90.35,90.29,59.52,1042999.0,0.2384,94.01
94.0,94.73,93.43,94.01,1681108,91.48,90.38,90.65,63.79,1086116.0,0.2461,92.1
91.98,92.26,91.83,92.1,1189235,91.62,90.33,90.78,56.88,1132160.0,0.2553,92.96
92.97,93.2,91.83,92.96,920996,91.87,90.36,90.99,68.47,1154389.0,0.2553,96.12
96.38,97.22,95.52,96.12,2441699,92.39,90.44,91.48,73.8,1264146.0,0.2765,94.75
94.19,95.41,93.3,94.75,2429537,92.77,90.48,91.79,68.55,1327308.0,0.2698,93.99
94.52,95.88,92.87,93.99,563998,93.23,90.52,92.0,59.49,1239747.0,0.2727,94.18
94.52,95.07,93.56,94.18,1039521,93.54,90.55,92.21,60.68,1145968.0,0.2726,93.52
93.85,95.1,92.43,93.52,1506002,93.69,90.63,92.33,57.35,1137476.0,0.2745,91.41
91.61,91.79,91.19,91.41,966652,93.51,90.67,92.25,51.19,1157987.0,0.2673,91.55
91.56,91.56,91.15,91.55,1920348,93.46,90.7,92.18,55.89,1241186.0,0.2671,90.15
90.45,91.23,88.8,90.15,1505978,93.07,90.66,91.99,47.63,1301739.0,0.2746,90.84
91.11,92.04,90.81,90.84,5209784,92.95,90.65,91.88,46.47,1540441.0,0.24,89.64
89.48,89.72,88.91,89.64,353548,92.62,90.64,91.66,39.84,1528588.0,0.2446,91.79
